Item	En Basket Rs Desc	2021 / Q1	2021 / Q2	2021 / Q3	2021 / Q4	2022 / Q1	2022 / Q2	2022 / Q3	2022 / Q4	2023 / Q1	2023 / Q2	2023 / Q3	2023 / Q4	2024 / Q1	2024 / Q2	2024 / Q3	2024 / Q4	2025 / Q1
General Index	General Index	81.37	82.06	86.20	89.15	91.29	95.56	97.50	97.22	99.22	100.22	99.98	100.59	100.59	101.79	102.56	104.18	104.93
     Residential 	Residential	80.78	82.36	86.25	89.51	91.34	95.65	98.58	98.18	100.24	100.71	99.77	99.28	99.18	101.13	101.35	102.35	104.26
        Residential Residential Plot	Residential Plot	80.60	83.61	87.86	91.02	92.58	96.42	99.88	98.60	100.19	100.28	99.79	99.74	100.21	101.13	101.38	102.25	105.56
        Residential Villa	Villa	77.25	75.42	81.17	84.14	85.62	92.10	92.63	94.16	99.27	101.79	100.67	98.31	93.61	101.82	102.22	104.66	103.21
        Residential Apartment	Apartment	82.74	82.92	84.76	88.61	91.45	95.73	98.76	99.59	101.10	101.31	99.05	98.57	100.34	101.07	100.93	101.40	101.58
        Residential Floor	Floor	94.27	90.17	89.35	91.74	94.07	96.95	100.21	100.23	100.08	100.30	100.22	99.39	96.28	96.63	98.41	98.73	98.94
     Commerical 	Commercial	82.86	80.87	85.97	87.87	91.13	95.55	94.38	94.71	96.51	99.11	100.23	104.30	104.60	103.57	106.67	109.54	107.20
        Commerical Commercial Plot	Commercial Plot	82.84	80.67	86.07	88.10	91.42	95.98	94.31	94.74	96.28	98.86	100.31	104.75	104.88	103.40	106.75	110.17	107.36
        Commerical Building	Building	80.10	79.46	82.60	83.53	86.19	90.30	94.44	93.55	99.09	101.56	99.21	100.15	103.76	107.32	107.78	105.28	106.99
        Commerical Gallery/ Shop	Gallery/ Shop	94.83	95.04	94.76	95.13	97.79	97.16	97.30	97.57	97.01	100.66	100.89	101.50	96.66	97.42	99.77	99.80	101.58
     Agricultural 	Agricultural	84.39	87.19	87.46	92.31	91.43	92.48	98.89	95.04	97.03	96.48	104.64	102.08	102.02	103.52	95.54	104.89	100.87
        Agricultural Land	Agricultural Land	84.39	87.19	87.46	92.31	91.43	92.48	98.89	95.04	97.03	96.48	104.64	102.08	102.02	103.52	95.54	104.89	100.87
